frame_idx,t_sec,page_found,area,fill,contact,stability,blur,text,hand,hand_text_overlap,edge_fg,bottom_hand,turn,edge_motion,raw_score,norm_score,peak_score
0,0.000,1,0.7796,0.9969,0.8697,0.5000,101.25,0.04609,0.15186,1.00000,0.29546,1.00000,0.41514,0.00000,1.98329,0.18972,0.15936
15,0.500,1,0.7442,0.9896,0.8483,0.7925,23.33,0.02761,0.02409,0.32205,0.37503,0.93814,0.37647,0.58863,4.91927,0.88535,0.79593
30,1.000,1,0.7751,0.9750,0.8952,0.6141,85.82,0.06162,0.02848,0.33478,0.21916,0.22537,0.66174,0.59417,5.97807,1.00000,0.94489
45,1.500,1,0.7991,0.9174,0.9388,0.5474,388.51,0.08909,0.05599,0.87418,0.22453,0.27000,0.76483,0.69178,4.76477,0.84874,0.75729
60,2.000,1,0.8145,0.9214,0.9488,0.9094,727.12,0.09411,0.05159,0.91163,0.22728,0.21407,0.84494,0.56766,5.60317,1.00000,0.89234
75,2.500,1,0.9972,1.0000,1.0388,0.0000,490.09,0.08422,0.18974,0.86062,0.28866,1.00000,0.63571,1.00000,4.92901,0.88766,0.74563
90,3.000,1,0.9972,0.9972,0.8700,0.5981,467.51,0.07873,0.28037,0.76156,0.28251,1.00000,0.63349,0.88981,4.76446,0.84867,0.71288
105,3.500,1,0.9972,0.9972,1.0388,0.5981,49.76,0.03417,0.27567,0.98479,0.38558,1.00000,0.43295,1.00000,1.93737,0.17884,0.15022
120,4.000,0,0.0000,0.0000,0.0000,0.0000,0.00,0.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,-1000000000.00000,-1000000000.00000,-1000000000.00000
135,4.500,0,0.0000,0.0000,0.0000,0.0000,0.00,0.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,-1000000000.00000,-1000000000.00000,-1000000000.00000
150,5.000,0,0.0000,0.0000,0.0000,0.0000,0.00,0.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,-1000000000.00000,-1000000000.00000,-1000000000.00000
165,5.500,0,0.0000,0.0000,0.0000,0.0000,0.00,0.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,-1000000000.00000,-1000000000.00000,-1000000000.00000
180,6.000,0,0.0000,0.0000,0.0000,0.0000,0.00,0.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,-1000000000.00000,-1000000000.00000,-1000000000.00000
195,6.500,1,0.7891,0.9588,0.9015,0.0000,57.70,0.01634,0.03459,0.58991,1.00000,0.30988,0.32522,0.76197,1.89779,0.16946,0.14907
210,7.000,1,0.8006,0.9385,0.9248,0.8053,49.35,0.01877,0.04790,0.59711,0.33286,0.31926,0.33267,0.25508,5.43921,1.00000,0.90938
225,7.500,1,0.8016,0.9441,0.9217,0.9708,154.45,0.01965,0.04240,0.87326,1.00000,0.15303,0.35138,0.20539,2.74823,0.37096,0.32008
240,8.000,1,0.8061,0.9406,0.9279,0.9391,152.08,0.01973,0.04289,0.81618,1.00000,0.12999,0.34636,0.10189,3.21920,0.48255,0.41939
255,8.500,1,0.8106,0.9447,0.9287,0.9736,145.44,0.01949,0.05310,1.00000,1.00000,0.13637,0.34769,0.06335,2.10347,0.21819,0.18583
270,9.000,1,0.9972,1.0000,1.0388,0.0000,57.25,0.03791,0.31498,1.00000,0.41011,1.00000,0.55818,1.00000,0.46735,0.00000,0.00000
