page,frame_idx,t_sec,raw_score,norm_score,peak_score,hand,hand_text_overlap,bottom_hand,blur,text,page_side_mode,trim_applied,trim_skip_reason,seam_side,seam_confidence,trim_fraction,shrink,dhash_similarity,orig_w,orig_h,final_w,final_h,bottom_trim_px,cleanup_applied,cleanup_mask_ratio,cleanup_reason,enhance_mode,deskew_angle_final,cluster_select_score,deskew_penalty,hand_penalty_weighted,high_hand_mode,duplicate_merge_reason,cluster_size,alt_candidates_checked,alt_candidates_examined,alt_replacement_applied,alt_replacement_reason,original_frame,replacement_frame,reselection_reason,duplicate_repaired,hand_improvement,alt_similarity,cons_cleanup_applied,cons_cleanup_mask_ratio,cons_cleanup_reason,clean_visual_score,bg_gray_penalty,finger_penalty,candidate_search_window,expected_fill_applied,expected_fill_reason,fill_source_gap,fill_distinctness_score,quality_refinement_applied,quality_refinement_reason,qr_original_frame,qr_replacement_frame,qr_score_delta,qr_candidates_checked,qr_candidates_examined,qr_suspicious_reasons,v155_adj_dedup_kept_over,v155_adj_dedup_reason,v156_footer_guard_applied,v156_footer_guard_blocked,v156_footer_distinct_reason,v156_footer_ink_a,v156_footer_ink_b,v156_footer_col_corr,v156_footer_row_corr,v156_footer_ham,v158_finger_relief_applied,v158_finger_relief_reason,v158_finger_relief_orig_frame,v158_finger_relief_new_frame,v158_finger_relief_orig_finger,v158_finger_relief_new_finger,v158_finger_relief_orig_cvs,v158_finger_relief_new_cvs,v158_finger_relief_finger_delta,v158_finger_relief_overall_delta,v158_finger_relief_candidates_checked,v158_finger_relief_candidates_examined,smart_trim
1,30,1.000,5.97807,1.00000,0.94489,0.02848,0.33478,0.22537,85.82,0.06162,auto-smart,0,shrink=0.200,left-edge,1.000,0.204,0.2000,,1274,1800,1274,1765,35,0,0.0000,implausible-strict,standard,0.994,0.6840,0.0000,0.2857,0,seed,1,0,0,0,,30,,,0,0.0000,0.000,0,0.0000,disabled-by-default,1.0420,0.1975,0.2069,,0,,,,0,"no-improvement(checked=2,min_gain=0.12,rej[low_stability=2])",30,,0.0000,2,5,turn=0.66,,,0,0,,,,,,,0,not-finger-suspicious,30,,0.2069,,1.0420,,0.0000,0.0000,0,0,skip(shrink=0.200)
2,60,2.000,5.60317,1.00000,0.89234,0.05159,0.91163,0.21407,727.12,0.09411,auto-smart,0,shrink=0.152,left-edge,1.000,0.164,0.1524,,1156,1800,1156,1742,58,0,0.0000,implausible-strict,decorative,-0.412,0.3331,0.0000,0.6077,0,seed,1,0,0,0,,60,,,0,0.0000,0.000,0,0.0000,disabled-by-default,0.9259,0.3437,0.1535,,0,,,,0,"no-improvement(checked=1,min_gain=0.12,rej[too_blurry=1])",60,,0.0000,1,5,"hand_text=0.91,turn=0.84",,,0,0,,,,,,,0,not-finger-suspicious,60,,0.1535,,0.9259,,0.0000,0.0000,0,0,skip(shrink=0.152)
3,240,8.000,3.21920,0.48255,0.41939,0.04289,0.81618,0.12999,152.08,0.01973,auto-smart,0,low-conf,,0.000,,,,1220,1800,1220,1777,23,0,0.0000,implausible-strict,standard,-3.999,-0.0702,0.0000,0.5180,0,seed,1,0,0,0,,240,,,0,0.0000,0.000,0,0.0000,disabled-by-default,1.6925,0.0000,0.0020,,0,,,,0,"no-improvement(checked=2,min_gain=0.12,rej[insufficient_gain=2])",240,,0.0000,2,4,hand_text=0.82,210,,1,0,,0.1057,0.1097,0.479,0.173,21,0,not-finger-suspicious,240,,0.0020,,1.6925,,0.0000,0.0000,0,0,skip(low-conf)
4,375,12.500,5.36711,0.99146,0.84607,0.16976,0.74968,1.00000,155.30,0.05216,auto-smart,0,low-conf,,0.000,,,,1363,1800,1363,1775,25,0,0.1523,implausible-strict,standard,1.939,0.0313,0.0000,0.8802,0,seed,1,0,0,0,,375,,,0,0.0000,0.000,0,0.0000,disabled-by-default,1.2821,0.1577,0.0837,,0,,,,0,"no-improvement(checked=4,min_gain=0.12,rej[insufficient_gain=1,low_stability=3])",375,,0.0000,4,5,"hand_text=0.75,bottom_hand=1.00",,,0,0,,,,,,,0,not-finger-suspicious,375,,0.0837,,1.2821,,0.0000,0.0000,0,0,skip(low-conf)
5,495,16.500,4.56338,0.80103,0.67286,0.23439,1.00000,1.00000,386.05,0.02584,auto-smart,0,low-conf,,0.000,,,,1126,1800,1126,1763,37,0,0.2149,implausible-strict,standard,0.000,-0.3132,0.0000,1.0438,0,seed,1,0,0,0,,495,,,0,0.0000,0.000,0,0.0000,disabled-by-default,1.3453,0.1163,0.0947,,0,,,,0,"no-improvement(checked=2,min_gain=0.12,rej[edge_motion_high=1,too_blurry=1])",495,,0.0000,2,2,"hand_text=1.00,bottom_hand=1.00",,,0,0,,,,,,,0,not-finger-suspicious,495,,0.0947,,1.3453,,0.0000,0.0000,0,0,skip(low-conf)
6,570,19.000,3.49497,0.54788,0.46453,0.06771,1.00000,0.18196,177.33,0.01366,auto-smart,0,low-conf,,0.000,,,,1160,1800,1160,1770,30,0,0.0181,too-bright,standard,0.000,-0.1478,0.0000,0.6499,0,seed,1,0,0,0,,570,,,0,0.0000,0.000,0,0.0000,disabled-by-default,1.6074,0.0102,0.0025,,0,,,,0,"no-improvement(checked=1,min_gain=0.12,rej[edge_motion_high=1])",570,,0.0000,1,1,hand_text=1.00,,,0,0,,,,,,,0,not-finger-suspicious,570,,0.0025,,1.6074,,0.0000,0.0000,0,0,skip(low-conf)
