page,frame_idx,t_sec,raw_score,norm_score,peak_score,hand,hand_text_overlap,bottom_hand,blur,text,page_side_mode,trim_applied,trim_skip_reason,seam_side,seam_confidence,trim_fraction,shrink,dhash_similarity,orig_w,orig_h,final_w,final_h,bottom_trim_px,cleanup_applied,cleanup_mask_ratio,cleanup_reason,enhance_mode,deskew_angle_final,cluster_select_score,deskew_penalty,hand_penalty_weighted,high_hand_mode,duplicate_merge_reason,cluster_size,alt_candidates_checked,alt_candidates_examined,alt_replacement_applied,alt_replacement_reason,original_frame,replacement_frame,reselection_reason,duplicate_repaired,hand_improvement,alt_similarity,cons_cleanup_applied,cons_cleanup_mask_ratio,cons_cleanup_reason,clean_visual_score,bg_gray_penalty,finger_penalty,candidate_search_window,expected_fill_applied,expected_fill_reason,fill_source_gap,fill_distinctness_score,quality_refinement_applied,quality_refinement_reason,qr_original_frame,qr_replacement_frame,qr_score_delta,qr_candidates_checked,qr_candidates_examined,qr_suspicious_reasons,v155_adj_dedup_kept_over,v155_adj_dedup_reason,v156_footer_guard_applied,v156_footer_guard_blocked,v156_footer_distinct_reason,v156_footer_ink_a,v156_footer_ink_b,v156_footer_col_corr,v156_footer_row_corr,v156_footer_ham,v158_finger_relief_applied,v158_finger_relief_reason,v158_finger_relief_orig_frame,v158_finger_relief_new_frame,v158_finger_relief_orig_finger,v158_finger_relief_new_finger,v158_finger_relief_orig_cvs,v158_finger_relief_new_cvs,v158_finger_relief_finger_delta,v158_finger_relief_overall_delta,v158_finger_relief_candidates_checked,v158_finger_relief_candidates_examined,smart_trim
1,0,0.000,3.90842,0.57888,0.49760,0.07593,1.00000,0.66909,619.21,0.07901,auto-smart,0,shrink=0.117,left-edge,1.000,0.109,0.1168,,1171,1800,1171,1800,0,0,0.0000,implausible-strict,sparse,0.879,-0.3138,0.0000,0.8480,0,seed,1,0,0,0,,0,,,0,0.0000,0.000,0,0.0000,disabled-by-default,1.5864,0.0985,0.0051,,0,,,,0,no-same-page(examined=2),0,,0.0000,0,2,"hand_text=1.00,bottom_hand=0.67,turn=0.74",,,0,0,,,,,,,0,not-finger-suspicious,0,,0.0051,,1.5864,,0.0000,0.0000,0,0,skip(shrink=0.117)
2,120,4.001,8.92993,1.00000,0.92265,0.02967,0.25753,0.74976,467.94,0.06798,auto-smart,0,low-conf,,0.000,,,,1190,1800,1190,1800,0,0,0.0000,implausible-strict,standard,0.000,0.5040,0.0000,0.4534,0,seed,1,0,0,0,,120,,,0,0.0000,0.000,0,0.0000,disabled-by-default,1.6326,0.0783,0.0011,,0,,,,0,"no-improvement(checked=2,min_gain=0.12,rej[low_stability=1,too_blurry=1])",120,,0.0000,2,3,"bottom_hand=0.75,turn=0.63",150,,1,0,,0.0095,0.0081,1.000,1.000,0,0,not-finger-suspicious,120,,0.0011,,1.6326,,0.0000,0.0000,0,0,skip(low-conf)
3,225,7.503,6.46530,0.84933,0.75445,0.05416,1.00000,0.19324,638.55,0.07007,auto-smart,0,shrink=0.142,left-edge,1.000,0.135,0.1420,,1152,1800,1152,1800,0,0,0.0000,implausible-strict,sparse,-0.978,0.1482,0.0000,0.6490,0,seed,1,0,0,0,,225,,,0,0.0000,0.000,0,0.0000,disabled-by-default,1.5851,0.0994,0.0011,,0,,,,0,"no-improvement(checked=3,min_gain=0.12,rej[insufficient_gain=3])",225,,0.0000,3,6,"hand_text=1.00,turn=0.64",,,0,0,,,,,,,0,not-finger-suspicious,225,,0.0011,,1.5851,,0.0000,0.0000,0,0,skip(shrink=0.142)
4,315,10.504,9.62315,1.00000,0.90735,0.03646,0.58194,0.45076,529.97,0.05982,auto-smart,0,low-conf,,0.000,,,,1108,1800,1108,1800,0,0,0.0000,implausible-strict,sparse,-3.965,0.4341,0.0000,0.5150,0,seed,1,0,0,0,,315,,,0,0.0000,0.000,0,0.0000,disabled-by-default,1.6622,0.0851,0.0004,,0,,,,0,"no-improvement(checked=2,min_gain=0.12,rej[too_blurry=2])",315,,0.0000,2,5,hand_text=0.58,,,1,0,,0.0000,0.0075,1.000,1.000,0,0,not-finger-suspicious,315,,0.0004,,1.6622,,0.0000,0.0000,0,0,skip(low-conf)
5,375,12.505,7.76459,0.98677,0.88337,0.01640,1.00000,0.05827,601.97,0.06199,auto-smart,0,low-conf,,0.000,,,,1109,1800,1109,1800,0,0,0.0000,implausible-strict,sparse,0.000,0.3500,0.0000,0.5799,0,seed,1,0,0,0,,375,,,0,0.0000,0.000,0,0.0000,disabled-by-default,1.5524,0.1144,0.0000,,0,,,,0,"no-improvement(checked=2,min_gain=0.12,rej[edge_motion_high=1,insufficient_gain=1])",375,,0.0000,2,3,"hand_text=1.00,turn=0.66",,,1,0,,0.0000,0.0075,1.000,1.000,0,0,not-finger-suspicious,375,,0.0000,,1.5524,,0.0000,0.0000,0,0,skip(low-conf)
