frame_idx,t_sec,paper_ratio,bright_mean,sat_mean,blur,edge_density,motion,skin,bottom_dark,composite,selected
0,0.000,0.8627,215.73,9.06,6657.68,0.3181,0.00000,0.18644,0.3199,2.9500,1
15,0.500,0.7472,223.98,25.52,1567.10,0.3191,0.12245,0.47731,0.1895,1.8500,1
30,1.000,0.7366,224.98,28.13,2368.88,0.2949,0.12315,0.49339,0.1411,1.8500,1
45,1.501,0.7038,221.33,38.63,4775.38,0.3937,0.16031,0.65672,0.0588,1.8500,0
60,2.001,0.8368,221.97,21.77,824.03,0.1829,0.17914,0.36266,0.1413,1.7690,0
75,2.501,0.8710,233.89,11.38,227.96,0.1737,0.15769,0.26459,0.0609,1.7252,0
90,3.001,0.8974,225.86,8.53,4026.91,0.2956,0.14013,0.16296,0.2033,1.8500,1
105,3.501,0.8848,227.51,9.20,1655.03,0.2452,0.06291,0.12857,0.2404,1.8500,1
120,4.001,0.8819,225.19,10.31,5220.18,0.2982,0.05277,0.16056,0.2533,1.8500,1
135,4.502,0.8850,225.76,9.90,5861.89,0.3032,0.04332,0.14569,0.2442,1.8500,0
150,5.002,0.8906,228.21,8.04,809.59,0.2344,0.05421,0.16633,0.2577,1.8500,1
165,5.502,0.9110,227.81,6.46,364.27,0.1580,0.04610,0.10566,0.2512,1.7163,1
180,6.002,0.8933,221.21,7.60,4835.25,0.2816,0.05645,0.08698,0.2646,2.0013,1
195,6.502,0.8962,223.30,7.54,4322.06,0.2776,0.04982,0.09410,0.2410,1.9687,1
210,7.003,0.8914,221.60,7.55,6299.17,0.2865,0.05869,0.08533,0.2676,2.0089,1
225,7.503,0.8832,219.49,7.82,6386.54,0.2856,0.06099,0.08417,0.3015,2.0142,1
240,8.003,0.6143,233.01,45.63,402.78,0.2117,0.14954,0.57134,0.1409,1.8500,1
255,8.503,0.7465,213.20,33.38,1167.42,0.2452,0.12840,0.39206,0.3219,1.8500,1
270,9.003,0.9197,235.17,4.24,363.66,0.1341,0.22044,0.12260,0.0250,1.5371,0
285,9.504,0.8844,234.06,9.03,1480.54,0.2418,0.05663,0.24802,0.0319,1.8500,1
300,10.004,0.9041,238.76,8.19,2917.77,0.2435,0.06393,0.21959,0.0186,1.8500,1
315,10.504,0.9105,237.87,7.96,5682.30,0.2508,0.04915,0.19011,0.0286,1.8500,1
330,11.004,0.9143,240.51,7.20,903.38,0.2046,0.05068,0.21235,0.0213,1.8500,1
345,11.504,0.9419,233.62,4.86,489.73,0.1611,0.05657,0.08894,0.0861,1.8075,1
360,12.004,0.9299,228.77,5.87,6359.98,0.2438,0.07643,0.04498,0.1594,2.1938,1
375,12.505,0.9188,227.85,6.17,6024.43,0.2415,0.06042,0.03982,0.1889,2.2175,1
390,13.005,0.9111,226.31,6.56,6320.54,0.2411,0.05476,0.03904,0.2168,2.2211,1
