frame_idx,t_sec,page_found,area,fill,contact,stability,blur,text,hand,hand_text_overlap,edge_fg,bottom_hand,turn,edge_motion,raw_score,norm_score,peak_score
0,0.000,1,0.8578,0.8862,1.2405,0.5000,356.18,0.05039,0.33884,1.00000,0.36514,1.00000,0.63627,0.00000,0.60329,0.00000,0.00000
15,0.500,1,0.8525,1.0000,0.9263,0.4218,526.82,0.06169,0.32957,1.00000,0.32796,1.00000,0.61678,0.72641,0.91177,0.01251,0.01050
30,1.000,1,0.8704,0.9971,0.9403,0.8848,877.55,0.07123,0.25214,1.00000,0.28293,0.96087,0.70537,0.53406,5.07548,0.85645,0.71942
45,1.500,1,0.8804,0.9971,0.9481,0.8618,953.08,0.07473,0.28797,1.00000,0.30430,1.00000,0.73586,0.47338,4.95884,0.83281,0.69956
60,2.000,0,0.0000,0.0000,0.0000,0.0000,0.00,0.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,-1000000000.00000,-1000000000.00000,-1000000000.00000
75,2.500,1,0.6907,0.8060,0.9262,0.0000,456.30,0.06299,0.17054,1.00000,0.27409,0.20794,0.53320,0.68468,2.47972,0.33032,0.28810
90,3.000,1,0.9064,1.0000,0.9682,0.0000,265.68,0.04205,0.15517,1.00000,0.35733,0.51714,0.43715,0.85156,3.14508,0.46518,0.39644
105,3.500,1,0.8864,0.9971,0.9527,0.8831,749.94,0.06075,0.16339,1.00000,0.32294,0.42794,0.57520,0.46699,6.71017,1.00000,0.85816
120,4.000,1,0.8100,0.9257,0.9421,0.6590,850.90,0.06504,0.15149,1.00000,0.29776,0.39210,0.61309,0.51816,5.22702,0.88717,0.76511
135,4.500,1,0.8321,0.9630,0.9331,0.6654,339.35,0.05009,0.17368,1.00000,0.29740,0.68186,0.49951,0.43626,3.68648,0.57492,0.48538
150,5.000,1,0.8535,0.9971,0.9271,0.8550,870.25,0.06341,0.28256,1.00000,0.31970,1.00000,0.72648,0.37428,3.61365,0.56015,0.47053
165,5.500,1,0.8974,0.9971,0.9612,0.7428,873.92,0.05883,0.29858,1.00000,0.34567,1.00000,0.58246,0.58891,4.07284,0.65323,0.54871
180,6.000,1,0.7224,0.8371,0.9316,0.0879,226.28,0.06222,0.42974,1.00000,0.33560,1.00000,0.75664,0.72319,-3.31039,0.00000,0.00000
195,6.500,1,0.8784,1.0000,0.9465,0.1667,11.17,0.02451,0.49662,1.00000,0.32230,1.00000,0.48491,0.40583,1.00077,0.03054,0.02566
210,7.000,1,0.9972,0.9972,1.0388,0.3043,255.96,0.05355,0.28195,1.00000,0.38201,1.00000,0.45409,0.73329,1.82530,0.19767,0.16604
225,7.500,1,0.8734,0.9971,0.9426,0.2750,773.90,0.07534,0.18666,1.00000,0.28096,0.93406,0.72387,0.67568,4.23030,0.68514,0.57552
240,8.000,1,0.8091,0.9409,0.9297,0.7022,1002.98,0.07475,0.16251,1.00000,0.27282,0.78007,0.74743,0.55675,4.73946,0.78835,0.66293
255,8.500,0,0.0000,0.0000,0.0000,0.0000,0.00,0.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,-1000000000.00000,-1000000000.00000,-1000000000.00000
270,9.000,0,0.0000,0.0000,0.0000,0.0000,0.00,0.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,-1000000000.00000,-1000000000.00000,-1000000000.00000
285,9.500,0,0.0000,0.0000,0.0000,0.0000,0.00,0.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,-1000000000.00000,-1000000000.00000,-1000000000.00000
300,10.000,0,0.0000,0.0000,0.0000,0.0000,0.00,0.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,-1000000000.00000,-1000000000.00000,-1000000000.00000
315,10.500,1,0.8249,0.9310,0.9499,0.5770,885.52,0.07028,0.14247,1.00000,0.26602,0.62479,0.62887,0.57817,5.57165,0.95702,0.81510
330,11.000,1,0.8824,0.9971,0.9496,0.7416,972.49,0.07841,0.19398,1.00000,0.31332,0.93628,0.62368,0.17965,6.63181,1.00000,0.84000
345,11.500,1,0.8645,1.0000,0.9357,0.8948,859.65,0.07405,0.33533,1.00000,0.33753,1.00000,0.68117,0.44854,3.67368,0.57232,0.48075
360,12.000,0,0.0000,0.0000,0.0000,0.0000,0.00,0.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,-1000000000.00000,-1000000000.00000,-1000000000.00000
375,12.500,0,0.0000,0.0000,0.0000,0.0000,0.00,0.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,-1000000000.00000,-1000000000.00000,-1000000000.00000
390,13.000,0,0.0000,0.0000,0.0000,0.0000,0.00,0.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,-1000000000.00000,-1000000000.00000,-1000000000.00000
405,13.500,0,0.0000,0.0000,0.0000,0.0000,0.00,0.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,-1000000000.00000,-1000000000.00000,-1000000000.00000
420,14.000,0,0.0000,0.0000,0.0000,0.0000,0.00,0.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,-1000000000.00000,-1000000000.00000,-1000000000.00000
435,14.500,0,0.0000,0.0000,0.0000,0.0000,0.00,0.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,-1000000000.00000,-1000000000.00000,-1000000000.00000
