frame_idx,t_sec,paper_ratio,bright_mean,sat_mean,blur,edge_density,motion,skin,bottom_dark,composite,selected
0,0.000,0.7903,222.13,22.63,3593.96,0.3227,0.00000,0.32682,0.3249,2.9500,1
15,0.500,0.7576,224.77,26.33,4731.48,0.3414,0.09286,0.36334,0.2511,1.8500,1
30,1.000,0.8033,226.12,20.42,7558.90,0.3294,0.08140,0.29412,0.2441,1.8500,1
45,1.500,0.7824,224.28,23.15,8911.61,0.3519,0.08348,0.32353,0.2228,1.8500,1
60,2.000,0.8269,230.56,24.07,617.19,0.1750,0.10368,0.34730,0.1486,1.7314,0
75,2.500,0.7941,223.95,22.49,4764.08,0.3219,0.11669,0.35642,0.2674,1.8500,1
90,3.000,0.8268,227.33,14.10,3178.00,0.2370,0.10030,0.17792,0.2755,1.8500,1
105,3.500,0.8492,224.31,12.10,6281.23,0.2596,0.06749,0.16024,0.3015,1.8500,1
120,4.000,0.8494,220.71,12.31,6934.15,0.2664,0.07974,0.16061,0.3557,1.8500,1
135,4.500,0.8425,220.50,12.28,3294.29,0.2404,0.06747,0.17398,0.4067,1.8500,1
150,5.000,0.8002,220.63,20.50,7160.47,0.2938,0.06546,0.27707,0.3116,1.8500,1
165,5.500,0.8252,222.98,18.77,6475.65,0.2872,0.09141,0.26769,0.2738,1.8500,1
180,6.000,0.8215,208.34,28.99,2433.68,0.2890,0.13264,0.52693,0.3648,1.8500,1
195,6.500,0.7980,219.63,32.43,230.80,0.2338,0.06696,0.54658,0.3153,1.8500,1
210,7.000,0.8340,224.14,15.89,3256.30,0.2583,0.11281,0.30065,0.3047,1.8500,1
225,7.500,0.8423,217.64,13.51,8036.37,0.2817,0.09014,0.22826,0.3676,1.8500,1
240,8.000,0.8425,214.91,13.73,8279.77,0.2792,0.08777,0.22626,0.4241,1.8500,1
255,8.500,0.8403,214.25,14.34,8405.18,0.2817,0.04640,0.23219,0.4296,1.8500,0
270,9.000,0.7647,218.20,24.78,5093.84,0.2943,0.09574,0.35822,0.3218,1.8500,0
285,9.500,0.7869,210.98,30.71,1742.25,0.1820,0.09882,0.41855,0.3500,1.7643,0
300,10.000,0.8256,216.20,15.34,6181.53,0.3039,0.14055,0.23027,0.3710,1.8500,0
315,10.500,0.8310,215.08,14.74,8359.66,0.2992,0.06850,0.18825,0.3741,1.8500,1
330,11.000,0.8304,214.72,15.04,8413.78,0.3026,0.04404,0.20387,0.3748,1.8500,1
345,11.500,0.7951,215.25,21.35,6962.66,0.3331,0.07586,0.33946,0.3755,1.8500,1
360,12.000,0.7787,217.70,23.21,6678.87,0.3214,0.07054,0.31565,0.3092,1.8500,0
375,12.500,0.7731,212.93,27.69,4928.39,0.2817,0.09285,0.36182,0.3247,1.8500,0
390,13.000,0.8397,215.77,15.49,7810.12,0.3739,0.12168,0.30324,0.3469,1.8500,0
405,13.500,0.8483,215.63,14.55,9967.50,0.3746,0.08547,0.26280,0.3350,1.8500,0
420,14.000,0.8473,215.89,14.69,10871.00,0.3782,0.06972,0.26210,0.3282,1.8500,0
435,14.500,0.8465,217.13,14.88,10919.19,0.3821,0.08739,0.27275,0.3030,1.8500,0
