page,frame_idx,t_sec,raw_score,norm_score,peak_score,hand,hand_text_overlap,bottom_hand,blur,text,page_side_mode,trim_applied,trim_skip_reason,seam_side,seam_confidence,trim_fraction,shrink,dhash_similarity,orig_w,orig_h,final_w,final_h,bottom_trim_px,cleanup_applied,cleanup_mask_ratio,cleanup_reason,enhance_mode,deskew_angle_final,cluster_select_score,deskew_penalty,hand_penalty_weighted,high_hand_mode,duplicate_merge_reason,cluster_size,alt_candidates_checked,alt_candidates_examined,alt_replacement_applied,alt_replacement_reason,original_frame,replacement_frame,reselection_reason,duplicate_repaired,hand_improvement,alt_similarity,cons_cleanup_applied,cons_cleanup_mask_ratio,cons_cleanup_reason,clean_visual_score,bg_gray_penalty,finger_penalty,candidate_search_window,expected_fill_applied,expected_fill_reason,fill_source_gap,fill_distinctness_score,quality_refinement_applied,quality_refinement_reason,qr_original_frame,qr_replacement_frame,qr_score_delta,qr_candidates_checked,qr_candidates_examined,qr_suspicious_reasons,v155_adj_dedup_kept_over,v155_adj_dedup_reason,v156_footer_guard_applied,v156_footer_guard_blocked,v156_footer_distinct_reason,v156_footer_ink_a,v156_footer_ink_b,v156_footer_col_corr,v156_footer_row_corr,v156_footer_ham,v158_finger_relief_applied,v158_finger_relief_reason,v158_finger_relief_orig_frame,v158_finger_relief_new_frame,v158_finger_relief_orig_finger,v158_finger_relief_new_finger,v158_finger_relief_orig_cvs,v158_finger_relief_new_cvs,v158_finger_relief_finger_delta,v158_finger_relief_overall_delta,v158_finger_relief_candidates_checked,v158_finger_relief_candidates_examined,smart_trim
1,0,0.000,4.67091,0.62116,0.53395,0.07593,1.00000,0.66909,619.21,0.07901,auto-smart,0,shrink=0.117,left-edge,1.000,0.109,0.1168,,1171,1800,1171,1800,0,0,0.0000,implausible-strict,sparse,0.879,-0.2748,0.0000,0.8480,0,seed,1,0,0,0,,0,,,0,0.0000,0.000,0,0.0000,disabled-by-default,1.5864,0.0985,0.0051,,0,,,,0,no-same-page(examined=2),0,,0.0000,0,2,"hand_text=1.00,bottom_hand=0.67,turn=0.74",,,0,0,,,,,,,0,not-finger-suspicious,0,,0.0051,,1.5864,,0.0000,0.0000,0,0,skip(shrink=0.117)
2,225,7.503,7.39438,0.91934,0.81664,0.05416,1.00000,0.19324,638.55,0.07007,auto-smart,0,shrink=0.142,left-edge,1.000,0.135,0.1420,,1152,1800,1152,1800,0,0,0.0000,implausible-strict,sparse,-0.978,0.2139,0.0000,0.6490,0,seed,1,0,0,0,,225,,,0,0.0000,0.000,0,0.0000,disabled-by-default,1.5851,0.0994,0.0011,,0,,,,0,"no-improvement(checked=3,min_gain=0.12,rej[insufficient_gain=3])",225,,0.0000,3,6,"hand_text=1.00,turn=0.64",,,0,0,,,,,,,0,not-finger-suspicious,225,,0.0011,,1.5851,,0.0000,0.0000,0,0,skip(shrink=0.142)
3,390,13.005,8.55977,1.00000,0.89565,0.01441,1.00000,0.04969,646.53,0.06259,auto-smart,0,low-conf,,0.000,,,,1114,1800,1114,1800,0,0,0.0000,implausible-strict,sparse,0.000,0.3670,0.0000,0.5756,0,seed,1,0,0,0,,390,,,0,0.0000,0.000,0,0.0000,disabled-by-default,1.5468,0.1203,0.0000,,0,,,,0,"no-improvement(checked=2,min_gain=0.12,rej[edge_motion_high=1,insufficient_gain=1])",390,,0.0000,2,4,"hand_text=1.00,turn=0.66",,,0,0,,,,,,,0,not-finger-suspicious,390,,0.0000,,1.5468,,0.0000,0.0000,0,0,skip(low-conf)
