page,frame_idx,t_sec,raw_score,norm_score,peak_score,hand,hand_text_overlap,bottom_hand,blur,text,page_side_mode,trim_applied,trim_skip_reason,seam_side,seam_confidence,trim_fraction,shrink,dhash_similarity,orig_w,orig_h,final_w,final_h,bottom_trim_px,cleanup_applied,cleanup_mask_ratio,cleanup_reason,enhance_mode,deskew_angle_final,cluster_select_score,deskew_penalty,hand_penalty_weighted,high_hand_mode,duplicate_merge_reason,cluster_size,alt_candidates_checked,alt_candidates_examined,alt_replacement_applied,alt_replacement_reason,original_frame,replacement_frame,reselection_reason,duplicate_repaired,hand_improvement,alt_similarity,cons_cleanup_applied,cons_cleanup_mask_ratio,cons_cleanup_reason,clean_visual_score,bg_gray_penalty,finger_penalty,candidate_search_window,smart_trim
1,0,0.000,1.50638,0.08535,0.06218,0.12306,0.97741,0.59350,87.30,0.03913,auto-smart,0,low-conf,,0.000,,,,1249,1800,1249,1800,0,0,0.0000,implausible-strict,standard,-2.980,,,,0,,1,0,0,0,,195,0,"first_page_rescue(t=1.50s,gap=4.50s,replaced=195)|first_page_earliest(orig=45,new=0)",0,0.0000,0.000,0,0.0000,disabled-by-default,1.3082,0.2992,0.0035,,skip(low-conf)
2,60,2.000,0.24905,0.00000,0.02931,0.16717,0.93632,0.74191,57.41,0.01637,auto-smart,0,low-conf,,0.000,,,,1166,1800,1166,1762,38,0,0.1380,implausible-strict,standard,1.031,,,,0,,1,0,0,0,,135,60,"cleaner_equivalent_v135(orig=135,new=60,dirty=1)",0,0.0000,0.000,0,0.0000,disabled-by-default,1.3883,0.0276,0.1597,3.00,skip(low-conf)
3,195,6.500,5.96031,0.98117,0.78589,0.12555,0.73345,0.71741,939.62,0.07923,auto-smart,0,low-conf,,0.000,,,,1265,1800,1265,1781,19,0,0.1090,implausible-strict,standard,-0.815,0.1332,0.0000,0.7406,0,seed,1,0,0,0,,255,195,"cleaner_equivalent_v135(orig=255,new=195,dirty=1)",0,0.0000,0.000,0,0.0000,disabled-by-default,1.3049,0.2828,0.0703,3.00,skip(low-conf)
4,315,10.500,6.93236,1.00000,0.82102,0.11088,0.46188,0.72630,694.97,0.08379,auto-smart,0,low-conf,,0.000,,,,1238,1800,1238,1800,0,0,0.0000,implausible-strict,standard,-0.979,0.3127,0.0000,0.5889,0,seed,1,0,0,0,,315,,,0,0.0000,0.000,0,0.0000,disabled-by-default,1.5178,0.1776,0.0000,3.00,skip(low-conf)
5,390,13.000,4.21802,0.63074,0.46807,0.16428,1.00000,0.60905,121.46,0.04429,auto-smart,1,,left,1.000,0.935,0.0653,0.680,1200,1800,1167,1758,41,0,0.1125,implausible-strict,decorative,1.941,-0.3181,0.0000,0.8593,0,seed|force_reduce(sim=-1.38),2,0,0,0,,390,,,0,0.0000,0.000,0,0.0000,disabled-by-default,1.0445,0.3152,0.1206,3.00,"auto-smart-trim-left(t=0.93,c=1.00,shrink=0.065,sim=0.68)"
