page,frame_idx,t_sec,raw_score,norm_score,peak_score,hand,hand_text_overlap,bottom_hand,blur,text,page_side_mode,trim_applied,trim_skip_reason,seam_side,seam_confidence,trim_fraction,shrink,dhash_similarity,orig_w,orig_h,final_w,final_h,bottom_trim_px,cleanup_applied,cleanup_mask_ratio,cleanup_reason,enhance_mode,deskew_angle_final,cluster_select_score,deskew_penalty,hand_penalty_weighted,high_hand_mode,duplicate_merge_reason,cluster_size,alt_candidates_checked,alt_candidates_examined,alt_replacement_applied,alt_replacement_reason,original_frame,replacement_frame,reselection_reason,duplicate_repaired,hand_improvement,alt_similarity,cons_cleanup_applied,cons_cleanup_mask_ratio,cons_cleanup_reason,clean_visual_score,bg_gray_penalty,finger_penalty,candidate_search_window,expected_fill_applied,expected_fill_reason,fill_source_gap,fill_distinctness_score,quality_refinement_applied,quality_refinement_reason,qr_original_frame,qr_replacement_frame,qr_score_delta,qr_candidates_checked,qr_candidates_examined,qr_suspicious_reasons,v155_adj_dedup_kept_over,v155_adj_dedup_reason,v156_footer_guard_applied,v156_footer_guard_blocked,v156_footer_distinct_reason,v156_footer_ink_a,v156_footer_ink_b,v156_footer_col_corr,v156_footer_row_corr,v156_footer_ham,smart_trim
1,15,0.500,0.51975,1.00000,0.35454,0.08715,1.00000,0.46219,369.42,0.05391,auto-smart,0,low-conf,,0.000,,,,1156,1800,1156,1758,42,1,0.0005,applied,standard,0.000,,,,0,,1,0,0,0,,15,,,0,0.0000,0.000,0,0.0000,disabled-by-default,1.5208,0.0690,0.0000,,0,,,,1,"replaced(reasons=hand_text=1.00,bottom_hand=1.00,turn=0.63;delta=+0.149;checked=4)",30,15,0.1489,4,5,"hand_text=1.00,bottom_hand=1.00,turn=0.63",,,0,0,,,,,,,skip(low-conf)
2,120,4.002,0.25473,0.98314,0.73873,0.09805,1.00000,0.53045,401.14,0.06202,auto-smart,0,sim=0.52,right-edge,1.000,0.945,0.0553,0.520,1149,1800,1149,1710,90,0,0.0000,implausible-strict,standard,1.799,0.0549,0.0000,0.8014,0,seed,1,0,0,0,,120,,,0,0.0000,0.000,0,0.0000,disabled-by-default,1.4032,0.1004,0.0003,,0,,,,0,"no-improvement(checked=4,min_gain=0.12,rej[finger_regression=2,insufficient_gain=1,low_stability=1])",120,,0.0000,4,6,hand_text=1.00,,,0,0,,,,,,,skip(sim=0.52)
3,210,7.003,0.27601,1.00000,0.72250,0.13130,1.00000,1.00000,692.42,0.06296,auto-smart,0,sim=0.54,right-edge,1.000,0.943,0.0570,0.539,1041,1799,1041,1709,90,0,0.0000,implausible-strict,standard,0.000,-0.1551,0.0000,1.0025,0,seed,1,0,0,0,,210,,,0,0.0000,0.000,0,0.0000,disabled-by-default,1.0228,0.1902,0.0001,,0,,,,0,"no-improvement(checked=5,min_gain=0.12,rej[deskew_too_large=1,finger_regression=3,low_stability=1])",210,,0.0000,5,6,"hand_text=1.00,bottom_hand=1.00,turn=0.56",,,1,0,,0.0105,0.0765,1.000,1.000,0,skip(sim=0.54)
4,270,9.004,-0.00422,0.71703,-1000000000.00000,0.07375,1.00000,0.55130,224.99,0.05526,auto-smart,0,sim=0.56,right-edge,1.000,0.928,0.0720,0.559,1128,1800,1128,1759,41,0,0.0000,implausible-strict,standard,1.034,,,,0,,1,0,0,0,,270,,v156_default_gap_fill(t=9.00s),0,0.0000,0.000,0,0.0000,disabled-by-default,1.4773,0.0872,0.0008,,0,,,,0,"no-improvement(checked=5,min_gain=0.12,rej[deskew_too_large=1,finger_regression=1,low_stability=3])",270,,0.0000,5,6,"hand_text=1.00,bottom_hand=0.55",,,1,0,,0.0105,0.0765,1.000,1.000,0,skip(sim=0.56)
5,390,13.005,0.45624,1.00000,0.67454,0.13925,0.94415,1.00000,472.82,0.05112,auto-smart,0,sim=0.58,right-edge,1.000,0.945,0.0553,0.582,1048,1800,1048,1710,90,1,0.0038,applied,decorative,1.917,-0.1540,0.0000,0.9750,0,seed,1,0,0,0,,390,,,0,0.0000,0.000,0,0.0000,disabled-by-default,1.0349,0.1442,0.0000,,0,,,,0,"no-improvement(checked=3,min_gain=0.12,rej[deskew_too_large=1,edge_motion_high=1,low_stability=1])",390,,0.0000,3,5,"hand_text=0.94,bottom_hand=1.00",420,,1,0,,0.0098,0.0889,1.000,1.000,0,skip(sim=0.58)
6,480,16.007,0.17011,0.89618,0.28016,0.12998,1.00000,1.00000,517.74,0.05804,auto-smart,0,sim=0.56,right-edge,1.000,0.945,0.0570,0.562,1193,1800,1193,1710,90,1,0.0024,applied,standard,-6.116,-0.6978,0.0000,1.0020,0,seed,1,0,0,0,,480,,,0,0.0000,0.000,0,0.0000,disabled-by-default,1.3925,0.0722,0.0000,,0,,,,0,"no-improvement(checked=3,min_gain=0.12,rej[finger_regression=1,low_stability=2])",480,,0.0000,3,3,"hand_text=1.00,bottom_hand=1.00,skew=6.12,turn=0.55",,,0,0,,,,,,,skip(sim=0.56)
7,585,19.508,-0.10086,0.61772,0.60369,0.12917,0.87588,1.00000,466.74,0.05410,auto-smart,0,sim=0.58,right-edge,1.000,0.945,0.0553,0.582,1057,1800,1057,1710,90,1,0.0064,applied,decorative,2.005,-0.2001,0.0000,0.9334,0,seed,1,0,0,0,,585,,,0,0.0000,0.000,0,0.0000,disabled-by-default,0.9509,0.1774,0.0018,,0,,,,0,"no-improvement(checked=2,min_gain=0.12,rej[deskew_too_large=1,insufficient_gain=1])",585,,0.0000,2,3,"hand_text=0.88,bottom_hand=1.00",570,,1,0,,0.0597,0.0137,1.000,1.000,0,skip(sim=0.58)
