frame_idx,t_sec,page_found,area,fill,contact,stability,blur,text,hand,hand_text_overlap,edge_fg,bottom_hand,turn,edge_motion,raw_score,norm_score,peak_score
540,18.007,0,0.0000,0.0000,0.0000,0.0000,0.00,0.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,-1000000000.00000,-1000000000.00000,-1000000000.00000
555,18.508,1,0.8407,0.8407,1.0387,0.2034,218.52,0.06118,0.31735,1.00000,0.30077,1.00000,0.48871,0.48167,-0.79153,0.00000,0.10314
570,19.008,1,0.8305,0.8959,0.9822,0.6755,383.54,0.06101,0.13357,1.00000,0.31833,1.00000,0.50897,0.53854,-0.19831,0.51758,0.11115
585,19.508,1,0.9533,0.9972,1.0047,0.2808,466.74,0.05410,0.12917,0.87588,0.40405,1.00000,0.48876,0.18454,-0.10086,0.61772,0.60369
600,20.008,1,0.9593,1.0000,1.0093,0.9649,451.41,0.05209,0.13814,1.00000,0.40528,1.00000,0.50037,0.25096,0.24459,0.97272,0.47193
255,8.503,1,0.9393,1.0000,0.9938,0.0000,385.40,0.06018,0.23869,1.00000,0.36798,1.00000,0.45192,0.00000,-0.71573,0.00000,-1000000000.00000
270,9.004,1,0.9972,1.0000,1.0388,0.0000,224.99,0.05526,0.07375,1.00000,0.24847,0.55130,0.48581,0.00000,-0.00422,0.71703,-1000000000.00000
285,9.504,1,0.9972,0.9972,1.0388,0.0000,537.10,0.05149,0.13861,1.00000,0.42240,1.00000,0.51128,0.00000,-0.61704,0.08728,-1000000000.00000
300,10.004,1,0.9972,0.9972,1.0388,0.0000,405.45,0.05713,0.15703,1.00000,0.43294,1.00000,0.51428,0.00000,-0.67112,0.03171,-1000000000.00000
315,10.504,1,0.8488,0.8697,1.0204,0.0000,457.97,0.06188,0.14255,1.00000,0.33775,1.00000,0.52978,0.00000,-0.84168,0.00000,-1000000000.00000
330,11.005,1,0.7658,0.7838,1.0211,0.0000,505.42,0.06483,0.20929,1.00000,0.33484,1.00000,0.52228,0.00000,-1.06775,0.00000,-1000000000.00000
345,11.505,1,0.9613,0.9972,1.0109,0.0000,280.24,0.05228,0.17980,1.00000,0.35748,1.00000,0.39852,0.00000,-0.59893,0.10589,-1000000000.00000
